FECHA_HORA,HORA,PERIODO,KWH_REC_BESS,KWH_ENT_BESS,BESS_REC_kW,BESS_ENT_kW,KWH_REC_ION,KWH_ENT_ION,ION_REC_kW,ION_ENT_kW,BESS_NETO_kWh,ION_NETO_kWh,Mejora_BESS_ION_kWh,Mejora_BESS_ION_kW,IUSA_CON_BESS_ION_kW,IUSA_SIN_BESS_ION_kW
16/06/2026 22:05,22,Punta,43.2,1036.8,518.4000000000001,12441.599999999999,6502.837982,0,78034.055784,0,-993.5999999999999,6502.837982,7496.4379819999995,89957.255784,78034.055784,89957.25578400001
16/06/2026 23:05,23,Intermedio,43.2,0.0,518.4000000000001,0.0,7873.4058226,0,94480.8698712,0,43.2,7873.4058226,7830.2058226,93962.4698712,94480.8698712,93962.46987120001
17/06/2026 00:05,24,Intermedio,57.6,0.0,691.2,0.0,9598.6090086,0,115183.3081032,0,57.6,9598.6090086,9541.0090086,114492.10810320001,115183.3081032,114492.10810320001
17/06/2026 01:05,1,Intermedio,5616.0,0.0,67392.0,0.0,14496.2559824,0,173955.0717888,0,5616.0,14496.2559824,8880.2559824,106563.0717888,173955.0717888,106563.0717888
17/06/2026 02:05,2,Base,7502.400000000001,0.0,90028.8,0.0,15407.953001,0,184895.436012,0,7502.400000000001,15407.953001,7905.553000999999,94866.63601199999,184895.436012,94866.63601199999
17/06/2026 03:05,3,Base,1929.6000000000001,0.0,23155.2,0.0,10796.0233771,0,129552.28052520001,0,1929.6000000000001,10796.0233771,8866.4233771,106397.0805252,129552.28052520001,106397.08052520001
17/06/2026 04:05,4,Base,43.2,0.0,518.4000000000001,0.0,9133.1713867,0,109598.0566404,0,43.2,9133.1713867,9089.9713867,109079.65664039999,109598.0566404,109079.6566404
17/06/2026 05:05,5,Base,57.6,0.0,691.2,0.0,8365.4365236,0,100385.23828319999,0,57.6,8365.4365236,8307.836523599999,99694.03828319999,100385.23828319999,99694.03828319999
17/06/2026 06:05,6,Base,43.2,0.0,518.4000000000001,0.0,7847.4148864,0,94168.97863679999,0,43.2,7847.4148864,7804.2148864,93650.5786368,94168.97863679999,93650.5786368
17/06/2026 07:05,7,Intermedio,43.2,0.0,518.4000000000001,0.0,10768.3963007,0,129220.75560840001,0,43.2,10768.3963007,10725.1963007,128702.35560839999,129220.75560840001,128702.35560840002
17/06/2026 08:05,8,Intermedio,43.2,0.0,518.4000000000001,0.0,12610.2431652,0,151322.9179824,0,43.2,12610.2431652,12567.043165199999,150804.5179824,151322.9179824,150804.5179824
17/06/2026 09:05,9,Intermedio,43.2,0.0,518.4000000000001,0.0,13214.871705,0,158578.46046,0,43.2,13214.871705,13171.671704999999,158060.06045999998,158578.46046,158060.06046
17/06/2026 10:05,10,Intermedio,57.6,0.0,691.2,0.0,9762.7150878,0,117152.58105359999,0,57.6,9762.7150878,9705.115087799999,116461.3810536,117152.58105359999,116461.3810536
